"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "CSS", "JSON", "XML", "JavaScript JSX", "Properties", "comment", "blank", "total"
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\Home.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\Login.module.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\Navbar.module.css", "CSS", 0, 0, 0, 79, 0, 0, 0, 0, 1, 14, 94
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\Order.module.css", "CSS", 0, 0, 0, 115, 0, 0, 0, 0, 0, 20, 135
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\OrderDetail.module.css", "CSS", 0, 0, 0, 47, 0, 0, 0, 0, 0, 7, 54
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\PizzaCard.module.css", "CSS", 0, 0, 0, 36, 0, 0, 0, 0, 1, 7, 44
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\PizzaList.module.css", "CSS", 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\Product.module.css", "CSS", 0, 0, 0, 146, 0, 0, 0, 0, 0, 26, 172
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\styles\globals.css", "CSS", 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\tailwind.config.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\Jyotindra\Desktop\My Projects\pizza-webshop\util\mongo.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 5, 9, 41
"Total", "-", 3, 362, 20, 799, 11001, 4, 1288, 5, 23, 340, 13845
